userId,movieId,user_avg_rating,user_rating_count,user_rating_std,user_like_count,user_like_ratio,user_rating_timespan,user_avg_gap_days,item_avg_rating,item_rating_count,item_rating_std,item_like_count,item_like_ratio,global_mean,movie_age_at_rating,label
36874,3156,3.479423868,243,0.60267009,66,0.271604938,0,0,3.045282369,2904,1.136528331,921,0.31714876,3.525512726,4,1
127971,6380,3.883802817,426,0.933681189,287,0.67370892,374,0.88,3.929867411,1433,0.774146527,963,0.672016748,3.525512726,5,1
37713,362,3.443181818,88,1.037879741,39,0.443181818,0,0,3.404908472,6173,0.959625764,2581,0.418111129,3.525512726,2,1
124701,2770,4.053435115,262,0.62438294,210,0.801526718,83,0.318007663,3.086473929,7748,1.044236641,2605,0.336215798,3.525512726,9,0
111402,2997,2.658163265,686,0.998969751,101,0.147230321,1561,2.278832117,3.955564803,21627,0.940849759,15029,0.694918389,3.525512726,4,0
90552,277,2.608064516,620,1.122727234,98,0.158064516,0,0,3.423512555,7328,1.054271714,3278,0.447325328,3.525512726,11,0
126499,161,3.358778626,131,0.920440549,50,0.381679389,2,0.015384615,3.744015748,19050,0.821164179,11306,0.593490814,3.525512726,1,1
66367,106782,3.653638814,371,1.065100665,227,0.611859838,930,2.513513514,3.803571429,1624,0.914165675,1002,0.616995074,3.525512726,1,1
130386,1408,3.466197183,355,1.071714354,175,0.492957746,517,1.460451977,3.726140245,9954,0.931463183,5812,0.583885875,3.525512726,15,0
38670,33166,3.205882353,323,0.687191655,49,0.151702786,2574,7.99378882,3.868844432,7148,0.908989329,4659,0.651790711,3.525512726,3,0
13551,140,3.393939394,66,0.892339843,24,0.363636364,362,5.569230769,3.295420792,4040,0.988065111,1528,0.378217822,3.525512726,1,0
14972,1285,3.276785714,112,1.062970692,42,0.375,143,1.288288288,3.758984242,8821,0.924723437,5340,0.60537354,3.525512726,18,0
42589,708,3.578947368,19,1.643701428,11,0.578947368,0,0,3.409302896,12222,0.907050467,5283,0.432253314,3.525512726,1,1
58170,53993,3.826300294,1019,0.536721431,627,0.615309127,1182,1.161100196,2.776450512,1172,0.981872431,176,0.150170648,3.525512726,3,0
104,2917,2.818766067,778,1.004139448,165,0.212082262,1,0.001287001,3.945292208,3080,0.843951742,2191,0.711363636,3.525512726,18,1
85462,2915,3.329896907,291,0.719985385,105,0.360824742,21,0.072413793,3.51730376,6357,0.893353243,3080,0.48450527,3.525512726,18,0
33349,1206,3.169336384,1748,0.96129338,496,0.28375286,21,0.012020607,4.00050597,19764,1.005776841,14155,0.716201174,3.525512726,34,1
133980,26757,4.382978723,141,0.62859906,120,0.85106383,676,4.828571429,3.818181818,11,1.055289706,6,0.545454545,3.525512726,20,1
106332,1260,2.088068182,352,1.274078502,45,0.127840909,1026,2.923076923,4.209991158,3393,0.855429954,2748,0.809902741,3.525512726,78,1
54825,3355,3.179624665,373,0.983007711,113,0.302949062,803,2.158602151,3.193799855,2758,0.983019409,927,0.336113125,3.525512726,10,0
86651,5445,3.887820513,468,0.643465885,326,0.696581197,444,0.950749465,3.660873251,18872,0.820475763,9889,0.524003815,3.525512726,4,1
77387,223,3.769230769,91,0.93186698,57,0.626373626,0,0,3.867908507,18843,0.977339153,12367,0.656317996,3.525512726,5,1
93710,1960,3.491154562,1074,1.047637901,543,0.505586592,4090,3.811742777,3.854690265,5650,0.857805034,3698,0.654513274,3.525512726,16,1
314,8784,3.880434783,92,0.712407947,61,0.663043478,634,6.967032967,3.831789502,7449,0.881638714,4539,0.609343536,3.525512726,1,0
78267,342,3.343137255,51,0.796807355,17,0.333333333,0,0,3.509752995,9433,1.016358081,4749,0.503445351,3.525512726,9,0
22202,260,3.316176471,68,1.480984978,39,0.573529412,250,3.731343284,4.190911175,43625,0.919793079,34062,0.780790831,3.525512726,29,1
61152,78469,4.4,105,0.369511112,101,0.961904762,454,4.365384615,3.335101254,1037,0.932987435,368,0.354869817,3.525512726,1,1
133982,23,3.378378378,37,0.720777025,15,0.405405405,0,0,3.144906323,3416,0.953804338,1077,0.31528103,3.525512726,1,0
60083,272,3.518518519,27,1.282136749,15,0.555555556,0,0,3.748448687,6285,0.881758465,3819,0.607637232,3.525512726,2,1
14056,3355,3.484304933,446,1.055100117,240,0.538116592,655,1.471910112,3.193799855,2758,0.983019409,927,0.336113125,3.525512726,1,0
68026,2183,3.5500693,2886,1.014626992,1410,0.488565489,5649,1.958058925,3.857256356,1888,0.76878716,1243,0.658368644,3.525512726,55,0
86531,910,3.703406814,499,0.804236035,269,0.539078156,0,0,4.080722342,8777,0.876751939,6454,0.735330979,3.525512726,45,1
67283,2424,3.564537158,767,0.83381176,407,0.530638853,1010,1.318537859,3.137103064,8975,1.082204283,3027,0.337270195,3.525512726,9,0
50990,55,3.6,40,0.777899868,27,0.675,0,0,3.252645503,756,0.982795519,299,0.395502646,3.525512726,5,1
68063,1633,2.895519173,2321,0.929732396,279,0.120206807,461,0.198706897,3.670442571,1898,0.904685813,1155,0.6085353,3.525512726,9,0
22799,2000,3.47810219,274,0.988706583,128,0.467153285,1,0.003663004,3.687624113,14100,0.86104142,8003,0.567588652,3.525512726,16,1
63622,1748,3.658227848,158,1.155282257,91,0.575949367,0,0,3.798778545,9415,0.901544596,5890,0.625597451,3.525512726,1,0
34402,2134,3.64381122,1123,0.531976177,497,0.442564559,3960,3.529411765,3.270956446,4569,0.94003157,1634,0.35762749,3.525512726,22,0
39284,4034,3.090464548,409,0.936923433,113,0.276283619,116,0.284313725,3.825774294,13141,0.868344891,8240,0.627045126,3.525512726,6,0
136680,527,3.567567568,111,0.880305955,50,0.45045045,0,0,4.307611836,40148,0.828200822,33218,0.827388662,3.525512726,3,1
632,3794,3.014188422,881,0.918294271,226,0.256526674,2631,2.989772727,3.257575758,660,1.109492851,300,0.454545455,3.525512726,1,0
63172,733,4.178571429,28,0.983326607,22,0.785714286,197,7.296296296,3.684281681,25149,0.913970806,14007,0.556960515,3.525512726,1,1
87908,2329,3.381355932,413,0.962508909,167,0.404358354,164,0.398058252,4.149784599,18570,0.75071991,14697,0.791437803,3.525512726,8,1
131002,32,4.55,40,1.084860856,36,0.9,0,0,3.89709814,35908,0.867961209,24001,0.668402584,3.525512726,6,1
86198,2431,3.561440678,708,0.870364935,386,0.54519774,2080,2.942008487,3.114480198,4848,1.14827698,1715,0.353754125,3.525512726,4,0
71586,2959,3.854785479,303,1.100286779,220,0.726072607,86,0.284768212,4.229541043,31942,0.872665389,25580,0.800826498,3.525512726,0,1
116263,4979,3.070205479,1460,0.813505744,231,0.158219178,2657,1.82111035,3.764461153,9975,1.031868939,5970,0.598496241,3.525512726,6,0
52885,1029,3.795454545,594,0.656267908,359,0.604377104,300,0.505902192,3.495543294,7068,0.98493029,3337,0.4721279,3.525512726,71,1
121560,6539,4.339285714,28,0.639061398,23,0.821428571,976,36.14814815,3.858856915,20086,0.861720418,12659,0.630239968,3.525512726,3,1
